record_id,date,state,district,latitude,longitude,rainfall_3h_mm,rainfall_24h_mm,rainfall_7d_mm,rainfall_forecast_72h_mm,soil_moisture_pct,soil_depth_cm,slope_angle_deg,elevation_m,ndvi,lithology_risk,land_use,distance_to_road_m,distance_to_stream_m,drainage_density_km_km2,curvature_index,road_cutting_index,seismicity_index,historical_landslides_5yr,crack_report_count,sensor_vibration_mm_s,risk_score,risk_level,landslide_event_next_72h,data_split
NER-000001,2021-01-01,Arunachal Pradesh,Tawang,27.2941,93.81731,105.7,158.2,743.5,311.5,55.5,22.3,8.7,2225.2,0.896,medium,barren slope,965.3,1396.1,6.262,-0.045,0.654,0.883,3,1,4.08,0.529,medium,1,train
NER-000002,2021-01-02,Assam,East Siang,26.13594,93.37849,72.3,162.7,366.6,103.4,33.1,83.4,27.1,691.8,0.905,low,barren slope,1781.3,349.5,6.006,-0.754,0.142,3.7,2,1,4.1,0.396,low,0,train
NER-000003,2021-01-03,Manipur,Dima Hasao,25.1681,94.50767,60,103.4,375.4,195.2,40.7,171.6,9.5,1771.8,0.41,low,agriculture,699.1,312.1,5.392,0.538,0.631,0.939,1,2,2.51,0.373,low,0,train
NER-000004,2021-01-04,Meghalaya,Tamenglong,25.1784,90.94656,66.6,231.4,950,184.1,66.1,115.4,31.8,3755.8,0.092,medium,road corridor,1657.7,994.6,3.382,-0.879,1,2.435,5,2,0.57,0.7,high,1,train
NER-000005,2021-01-05,Mizoram,East Khasi Hills,24.14906,92.2086,61.7,110.4,384.6,149.7,38.6,122.3,30.4,376.9,0.121,low,settlement,9.3,867.7,0.768,0.107,0.882,3.523,1,2,1.23,0.435,low,0,train
NER-000006,2021-01-06,Nagaland,Aizawl,26.1567,93.97502,29,102.9,290.5,214.9,43.8,155.9,51.5,3022.9,0.729,medium,forest,1794.2,357,2.526,0.101,0.286,3.572,2,0,2.63,0.474,medium,0,train
NER-000007,2021-01-07,Sikkim,Kohima,27.61218,88.75144,20.1,67.5,185.6,190.2,41,5,35.6,2644.5,0.834,medium,agriculture,1788.8,123.8,1.518,-0.513,0.262,3.497,5,2,5.77,0.477,medium,1,train
NER-000008,2021-01-08,Tripura,West Sikkim,23.75419,91.56491,83.4,257.4,950,512.1,70.2,205.5,34.1,868.1,0.651,medium,agriculture,1073.3,487.6,4.582,0.654,0.509,0.878,5,1,4.88,0.728,high,1,train
NER-000009,2021-01-09,Arunachal Pradesh,Lunglei,27.28574,93.40588,71.4,135.9,408.9,385.7,47.6,46.4,50.6,1001.7,0.368,high,road corridor,1715.1,469.9,3.247,0.014,0.762,2.622,2,1,2.89,0.653,medium,0,train
NER-000010,2021-01-10,Assam,North Tripura,26.01757,92.34495,51.5,202.9,423,478.2,44.7,38.8,37.3,1046.4,0.394,low,agriculture,976.9,122.9,4.857,0.157,0.567,2.908,4,0,2.06,0.586,medium,1,train
NER-000011,2021-01-11,Manipur,Tawang,25.15754,94.17898,3.4,47,205.4,126.7,35,192.9,48.2,3383.7,0.643,low,settlement,728.3,636.2,0.792,0.982,0.179,1.471,5,0,3.1,0.398,low,0,train
NER-000012,2021-01-12,Meghalaya,East Siang,25.96014,91.18626,44.2,72.5,333.6,202.6,41.6,81.9,24.4,3984.1,0.658,medium,forest,1516.8,300.9,5.814,-0.846,0.04,2.112,4,2,4.87,0.438,low,1,train
NER-000013,2021-01-13,Mizoram,Dima Hasao,23.82506,92.99549,37.3,135.8,335.5,315.1,47.6,17.8,22.3,2229.8,0.08,low,road corridor,1465.5,762.4,5.091,-0.279,0.448,0.848,1,0,2.69,0.447,low,0,train
NER-000014,2021-01-14,Nagaland,Tamenglong,26.10895,93.49821,112.6,314.8,874.6,295.4,67.4,17.7,42.9,293,0.865,low,forest,865.6,109.4,4.964,0.245,0.835,0.708,3,2,4.27,0.708,high,1,train
NER-000015,2021-01-15,Sikkim,East Khasi Hills,27.88947,88.25933,93.7,195.6,836.2,504.3,65,108.6,50.7,2677.2,0.382,high,agriculture,1217.3,787,5.758,0.291,0.939,2.236,5,1,4.37,0.815,high,1,validation
NER-000016,2021-01-16,Tripura,Aizawl,23.79558,91.20557,105.8,145.4,665.8,147.4,62.1,60.5,51.3,3154.7,0.452,high,settlement,486.5,109.3,1.469,-0.402,0.016,4.065,5,2,1.36,0.678,medium,0,validation
NER-000017,2021-01-17,Arunachal Pradesh,Kohima,27.99328,93.19635,71.8,147.1,304.1,404.2,43.8,26.6,7.8,194.6,0.283,medium,forest,1152.1,132.4,3.46,0.811,0.311,2,2,1,2.03,0.486,medium,0,validation
NER-000018,2021-01-18,Assam,West Sikkim,25.8907,92.90693,84.1,191.9,765.7,143.4,70.4,133.8,30,1692.6,0.441,low,barren slope,1399.4,674.3,6.851,-0.918,0.687,2.606,1,2,3.44,0.61,medium,1,test
NER-000019,2021-01-19,Manipur,Lunglei,25.20178,94.47841,106.8,317.6,950,374.7,60.7,100.9,50.3,1154.2,0.353,medium,settlement,1291.9,281.6,2.601,-0.592,0.335,0.357,5,1,4.62,0.791,high,1,test
